a @(15,-60) "Skip to the instrument" href=#instrument
a @(70,24) "LIFECYCLE / MUSIC BOX" href=#top
a @(1278,24) "Score notes ↘" href=#decisions
a @(743,222) "01 Clearing moves from TypeScript to core." href=#decision-owner
a @(743,251) "02 A failed refresh keeps the old cache turn." href=#decision-turn
a @(743,281) "03 Release now awaits—and carries—project failure." href=#decision-release
button @(98,539) "Release, held open" type=submit state=false
button @(231,539) "Release, then reject" type=submit state=false
button @(369,539) "Release, synchronous" type=submit state=false
button @(518,539) "Refresh succeeds" type=submit state=true
button @(645,539) "Refresh rejects" type=submit state=false
button @(757,539) "Old answer lands late" type=submit state=false
button#play @(98,674) "Play recording" type=submit
button#restart @(199,674) "Restart recording" type=submit
button#back @(240,674) "Previous step" type=submit
button#next @(281,674) "Next step" type=submit
input#sound @(343,684) "on" type=checkbox
input#tempo @(494,686) "84" type=range
select#listen @(1193,678) "#127 head #126 base Both · base L / head R" type=select-one
button @(204,741) "Full ensemble" type=submit state=true
button @(296,741) "Release completion" type=submit state=false
button @(415,741) "Cache lifetime" type=submit state=false
button @(509,741) "Successful turn" type=submit state=false
button @(113,856) "Inspect Backend ownership"
button @(113,892) "Inspect Source cache ownership"
button @(113,929) "Inspect Project graph ownership"
button @(113,966) "Inspect Workspace state ownership"
button @(113,1003) "Inspect Query service ownership"
button @(113,1040) "Inspect Cache lifetime ownership"
button @(293,856) "Step 1: Backend refresh starts."
button @(371,893) "Step 2: Source cache refresh starts."
button @(449,893) "Step 3: Source cache refresh returns synchronously."
button @(527,930) "Step 4: Project graph refresh starts."
button @(605,930) "Step 5: Project graph refresh settles."
button @(683,967) "Step 6: Workspace state refresh starts."
button @(761,967) "Step 7: Workspace state refresh settles."
button @(839,1004) "Step 8: Query service beginTurn starts."
button @(917,1041) "Step 9: Service’s six Maps clear synchronously."
button @(995,1004) "Step 10: Query service beginTurn returns synchronously."
button @(1073,856) "Step 11: Backend refresh settles."
button @(1152,1041) "Step 12: Definition lookup misses; a new search is needed."
button @(1230,1041) "Step 13: Definition cache stores the new promise immediately."
button @(113,1180) "Inspect Backend ownership"
button @(113,1217) "Inspect Source cache ownership"
button @(113,1254) "Inspect Project graph ownership"
button @(113,1291) "Inspect Workspace state ownership"
button @(113,1328) "Inspect Query service ownership"
button @(113,1365) "Inspect Cache lifetime ownership"
button @(293,1180) "Step 1: Backend refresh starts."
button @(371,1217) "Step 2: Source cache refresh starts."
button @(449,1217) "Step 3: Source cache refresh returns synchronously."
button @(527,1254) "Step 4: Project graph refresh starts."
button @(605,1254) "Step 5: Project graph refresh settles."
button @(683,1291) "Step 6: Workspace state refresh starts."
button @(761,1291) "Step 7: Workspace state refresh settles."
button @(839,1328) "Step 8: Query service beginTurn starts."
button @(917,1365) "Step 9: Core’s six cache handles clear synchronously."
button @(995,1328) "Step 10: Query service beginTurn returns synchronously."
button @(1073,1180) "Step 11: Backend refresh settles."
button @(1152,1365) "Step 12: Definition lookup misses; a new search is needed."
button @(1230,1365) "Step 13: Definition cache stores the new promise immediately."
input#scrub @(134,1441) "Playback step" type=range
button#checkpoint @(1156,1435) "Jump to the clearing chord ↗" type=submit
summary @(98,1711) "Read every selected step as text"
button @(121,1772) "Backend refresh starts. [raw 45]" type=submit
button @(121,1799) "Source cache refresh starts. [raw 46]" type=submit
button @(121,1826) "Source cache refresh returns synchronously. [raw 47]" type=submit
button @(121,1853) "Project graph refresh starts. [raw 48]" type=submit
button @(121,1880) "Project graph refresh settles. [raw 52]" type=submit
button @(121,1907) "Workspace state refresh starts. [raw 53]" type=submit
button @(121,1934) "Workspace state refresh settles. [raw 55]" type=submit
button @(121,1962) "Query service beginTurn starts. [raw 56]" type=submit
button @(121,1989) "Service’s six Maps clear synchronously. [raw 58, 59, 60, 61, 62, 63]" type=submit
button @(121,2016) "Query service beginTurn returns synchronously. [raw 65]" type=submit
button @(121,2043) "Backend refresh settles. [raw 66]" type=submit
button @(121,2070) "Definition lookup misses; a new search is needed. [raw 72]" type=submit
button @(121,2097) "Definition cache stores the new promise immediately. [raw 74]" type=submit
button @(755,1772) "Backend refresh starts. [raw 45]" type=submit
button @(755,1799) "Source cache refresh starts. [raw 46]" type=submit
